date,equity_curve,benchmark
01/12/2004,100,100
01/01/2005,101.1626256,100
01/02/2005,99.83887615,101.8903346
01/03/2005,101.9190485,99.94243027
01/04/2005,99.83614579,97.93272972
01/05/2005,100.6456084,100.8660154
01/06/2005,100.9232041,100.8516204
01/07/2005,98.2043298,104.4790804
01/08/2005,97.19078503,103.3066052
01/09/2005,99.87065507,104.0244854
01/10/2005,100.2294238,102.1790098
01/11/2005,102.3563142,105.7742903
01/12/2005,103.190474,105.6735562
01/01/2006,101.9205875,108.3647205
01/02/2006,102.3511108,108.4138268
01/03/2006,102.9619959,109.6167661
01/04/2006,104.762953,110.9492295
01/05/2006,102.0620006,107.5190214
01/06/2006,106.5959803,107.5283322
01/07/2006,109.2608204,108.0752082
01/08/2006,109.5031611,110.3744211
01/09/2006,109.1077881,113.0859121
01/10/2006,110.3969233,116.6490233
01/11/2006,113.3118187,118.5698427
01/12/2006,114.7802611,120.0656941
01/01/2007,116.1769382,121.7537028
01/02/2007,114.7588188,119.09385
01/03/2007,116.7064394,120.2824046
01/04/2007,117.4182447,125.489513
01/05/2007,120.9530517,129.5740998
01/06/2007,120.6781034,127.2655659
01/07/2007,119.1766584,123.1953741
01/08/2007,123.1048836,124.7801066
01/09/2007,121.6681297,129.2464868
01/10/2007,122.454005,131.1622219
01/11/2007,129.170576,125.3853894
01/12/2007,127.9981446,124.3035005
01/01/2008,141.4678985,116.7006718
01/02/2008,142.8393775,112.6440172
01/03/2008,147.0317323,111.9727013
01/04/2008,153.6545392,117.2966335
01/05/2008,154.3884974,118.5486791
01/06/2008,156.4446727,108.3579519
01/07/2008,156.0327029,107.2896106
01/08/2008,157.5345494,108.5975208
01/09/2008,158.3492737,98.73779621
01/10/2008,162.5914329,82.00919211
01/11/2008,158.7619756,75.87088259
01/12/2008,167.5830237,76.46431254
01/01/2009,167.5975223,69.9145827
01/02/2009,166.6814219,62.22878889
01/03/2009,176.9274181,67.54340511
01/04/2009,179.7118793,73.88742482
01/05/2009,178.629593,77.80947619
01/06/2009,179.3316076,77.82471335
01/07/2009,189.9931252,83.59477201
01/08/2009,198.5887798,86.40022837
01/09/2009,208.9224529,89.48673361
01/10/2009,207.4185734,87.7182967
01/11/2009,205.9662265,92.75017451
01/12/2009,213.3988013,94.39839809
01/01/2010,219.8435088,90.90808848
01/02/2010,222.7777127,93.50021344
01/03/2010,232.3291582,98.99769182
01/04/2010,230.5717248,100.4588215
01/05/2010,249.0329661,92.22362504
01/06/2010,262.7408697,87.25439091
01/07/2010,283.0724698,93.25556032
01/08/2010,290.1603691,88.83066007
01/09/2010,310.8144916,96.60788234
01/10/2010,329.6456833,100.1684619
01/11/2010,340.441493,99.93905111
01/12/2010,344.0920335,106.4650752
01/01/2011,347.6005498,108.8760379
01/02/2011,352.8578537,112.355342
01/03/2011,373.251635,112.2376708
01/04/2011,371.0062835,115.4359259
01/05/2011,375.4662929,113.8774309
